First name,Last name,Street,City,State/province,Zip/Postal Code,Country/region,Job Title,Department,Company,Manager,Description,Office,Telephone number,Other Telephone,Mobile,Notes,Account status
Adam,Peeters,Brouwersveld 1,Oostrozebeke,,8780,BE,Teamleider - Nachtshift,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Alexander,Janssens,Brouwersveld 1,Oostrozebeke,,8780,BE,Teamleider - Dagshift,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Alice,Maes,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Amber,Jacobs,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Amelie,Mertens,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Anna,Willems,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Arthur,Claes,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Axelle,Goossens,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Billie,Wouters,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Camille,De Smet,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Charlotte,Vermeulen,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Elena,Pauwels,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Elias,Dubois,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Elise,Hermans,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Ella,Aerts,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Ellie,Michiels,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Emiel,Lambert,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Emma,Martens,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Felix,Smets,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Fien,De Vos,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Finn,Claeys,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
Gust,Desmet,Brouwersveld 1,Oostrozebeke,,8780,BE,Productiemedewerker,Productie,Brouwerij Moos,Angela Moos,,,,,,,Enabled
